"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","test_accept_order_without_courier_id","tests","2025-10-14","failed","2025-10-14","TestCreatingCourier","test_return_order","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","414","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест проверяет авторизацию когда отсутствует логин или пароль","2000","Авторизация без обязательных полей","tests","2025-10-14","passed","2025-10-14","TestLoginCourier","test_login_courier","",""
"Тест успешное создание курьера","1513","Создание курьера","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест создание курьера с теми же данными","1815","Создание курьера с дублирующими данными","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Отправляем GET-Запрос и получаем список заказов","7108","Тест на проверку получения списка заказов","tests","2025-10-14","passed","2025-10-14","TestCreadeOrder","test_get_order","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","417","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","failed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест создание курьера с существующем логином","1949","Создание курьера с существующим логином","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест проверяет авторизацию с пустыми строками и null значениями","2347","Авторизация с пустыми строками и null значениями","tests","2025-10-14","passed","2025-10-14","TestLoginCourier","test_login_courier","",""
"Тест проверяет авторизацию с пустыми строками и null значениями","2179","Авторизация с пустыми строками и null значениями","tests","2025-10-14","passed","2025-10-14","TestLoginCourier","test_login_courier","",""
"Тест проверяет авторизацию с пустыми строками и null значениями","1797","Авторизация с пустыми строками и null значениями","tests","2025-10-14","passed","2025-10-14","TestLoginCourier","test_login_courier","",""
"","1849","Авторизация с неверным логином","tests","2025-10-14","passed","2025-10-14","TestLoginCourier","test_login_courier","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","406","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","503","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"","409","test_accept_order_with_invalid_courier_id","tests","2025-10-14","failed","2025-10-14","TestCreatingCourier","test_return_order","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","349","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест создание заказа черным , белым, c двумя цветами","474","Создание заказа с разными цветами","tests","2025-10-14","passed","2025-10-14","TestCreadeOrder","test_creade_order","",""
"","389","test_accept_order_with_invalid_order_id","tests","2025-10-14","failed","2025-10-14","TestCreatingCourier","test_return_order","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","445","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест неуспешный запрос без ID возвращает соответствующую ошибку","349","Удаление курьера без параметров","tests","2025-10-14","failed","2025-10-14","TestDeleteCourier","test_delet_courier","",""
"Тест проверяет авторизацию когда отсутствует логин или пароль","61230","Авторизация без обязательных полей","tests","2025-10-14","failed","2025-10-14","TestLoginCourier","test_login_courier","",""
"","1698","Авторизация с неверным логином и паролем","tests","2025-10-14","passed","2025-10-14","TestLoginCourier","test_login_courier","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","335","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","381","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","failed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
